Ecomm Crt Date,Order ID#,Order SKU#,JDA Crt Date,JDA Order ID#,JDA Xfer #,PKMS pkt#,PkMS Wave #,PkMS SKU #,PKMS Original Order Qty,PkMS Original Pkt Qty,PKMS pkt Qty,PKMS shortage Qty,PkMS Cancel Qty,PKMS Shipped Qty,PkMS Date Last Modified,Time Last modified
10/18/2024 12:26,30148921,314861,241018,30148921,47021837,47021837,20241019006,314861,1,1,1,0,0,1,20241024,131417
11/3/2024 12:06,30157523,274714,241103,30157523,47149941,47149941,20241105009,274714,1,1,1,0,0,1,20241108,134715
11/22/2024 10:21,30170122,298334,241122,30170122,47354776,47354776,20241123003,298334,1,1,1,0,0,1,20241127,11749
12/1/2024 10:06,30175850,326465,241201,30175850,47432423,47432423,20241206035,326465,1,1,1,0,0,1,20241210,192424
12/2/2024 10:56,30176784,318765,241202,30176784,47438183,47438183,20241206035,318765,2,2,2,0,0,2,20241212,43614
12/4/2024 22:26,30178220,314666,241204,30178220,47468189,47468189,20241206035,314666,2,2,2,0,0,2,20241220,130949
12/5/2024 14:31,30178642,283118,241205,30178642,47475686,47475686,20241206035,283118,1,1,1,0,0,1,20241212,204031
12/5/2024 20:36,30178829,326870,241205,30178829,47475842,47475842,20241206035,326870,1,1,1,0,0,1,20241212,204031
12/5/2024 20:56,30178841,288884,241205,30178841,47475854,47475854,20241206035,288884,1,1,1,0,0,1,20241213,205134
12/5/2024 22:41,30178896,322935,241205,30178896,47477195,47477195,20241206035,322935,1,1,1,0,0,1,20241213,153004
12/6/2024 7:45,30178990,326870,241206,30178990,47479166,47479166,20241206035,326870,1,1,1,0,0,1,20241213,153057
12/7/2024 5:56,30180192,313052,241207,30180192,47489235,47489235,20241212029,313052,2,2,2,0,0,2,20241218,191700
12/7/2024 5:56,30180194,313052,241207,30180194,47489237,47489237,20241212029,313052,2,2,2,0,0,2,20241218,191700
12/8/2024 9:06,30180936,315514,241208,30180936,47489894,47489894,20241212029,315514,1,1,1,0,0,1,20241216,205620
12/8/2024 21:00,30181384,322965,241208,30181384,47490274,47490274,20241212029,322965,3,3,3,0,0,3,20241220,182120
12/10/2024 7:40,30182210,327273,241210,30182210,47500931,47500931,20241211004,327273,2,2,2,0,0,2,20241213,153058
